Колбаса варёная;12.0;19.0;0.0;226.0;Продукты животного происхождения
Колбаса варёно-копчёная сервелат;16.1;40.1;0.0;425.0;Продукты животного происхождения
Колбаса сырокопчённая сервелат;23.9;47.8;0.0;526.0;Продукты животного происхождения
Колбаса сырокопчённая сервелат;24.0;40.5;0.0;461.0;Продукты животного происхождения
Колбаски для гриля (говядина и свинина);12.2;23.2;0.0;257.6;Продукты животного происхождения
Конопляное;0.0;99.85;0.0;899.0;Масла
Конфеты Алёнка;6.7;32.2;58.9;527.0;Сладости
Конфеты Грильяж в шоколаде;5.1;26.9;64.6;512.0;Сладости
Конфеты Мишка косолапый;5.7;32.1;60.5;526.0;Сладости
Конфеты Суфле в шоколаде;2.5;14.4;69.3;392.0;Сладости
Конфеты батончик рот фронт;10.6;30.4;52.4;519.0;Сладости
Конфеты карамель в шоколаде ;2.8;10.9;77.0;406.0;Сладости
Конфеты шоколадные ассорти с начинкой;2.7;26.6;58.9;486.0;Сладости
Конфеты шоколадные с вафлями и начинкой Золотистые орешки;6.7;28.9;51.8;470.0;Сладости
Конфеты шоколадные с орехово-сливочной начинкой;7.2;35.0;55.2;564.0;Сладости
Кофе в зёрных;13.9;14.4;4.1;223.0;Разное 
Кофе растворимый ;14.6;0.0;10.3;100.0;Разное 
Краб;16.0;0.5;0.0;69.0;Морепродукты
Крабовые палочки имитация;7.0;1.0;10.0;377.0;Морепродукты
Крабы натуральные в собственном соку консервированные;18.0;1.2;2.0;85.0;Морепродукты
Креветки;18.9;0.8;0.0;83.0;Морепродукты
Крыжовник;0.7;0.0;9.9;44.0;Ягоды
Кукуруза;10.3;4.9;67.5;338.0;Зерновые 
Кукуруза сладкая консервированная;4.7;1.6;23.6;128.0;Зерновые 
Кукурузное;0.0;99.9;0.0;899.0;Масла
Курага;5.5;0.5;63.5;291.0;Сухофрукты
Лангуст;18.4;0.4;0.0;77.0;Морепродукты
Лапша яичная;10.4;1.6;70.3;337.0;Хлебобулочные 
Ледяная рыба;15.9;0.9;1.3;104.0;Морепродукты
Лимон;0.9;0.0;3.6;31.0;Цитрусовые
Лисички свежие;1.6;0.9;2.1;22.0;Грибы
Лосось консервированный натуральный ;21.0;6.0;0.0;138.0;Морепродукты
Лук зелёный;1.3;0.0;4.3;22.0;Овощи
Лук репчатый;1.7;0.0;9.5;43.0;Овощи
